sample,twist_mid_deg,twist_tip_deg,alpha_deg,CL,CD,LD,feasible
0,-4.990958241942239,-5.321943921987603,1.5028280416017723,-0.10862850154813637,0.010745838617818302,,False
1,-5.907894721162375,-2.4047088673943824,3.540487552967265,0.07959931741494282,0.0101015463418272,,False
2,-4.190445588079614,-6.389303215263848,2.657437727346489,-0.017241764877046283,0.010501585434656588,,False
3,-2.6980154375158225,1.7314600987883697,1.621464700223028,0.08816812788855732,0.009934772899724236,8.874699882772825,True
4,1.174245395196773,-3.991138080663541,3.8511317160234535,0.25820183781753203,0.012529195034334816,20.608014889221504,True
5,-2.209089548871391,-4.527729239350792,3.4587236548779163,0.13035214789124258,0.010669409954819195,12.217371761253272,True
6,-1.0331052468797033,-0.9815832199561036,2.9248382451982926,0.1836083383137153,0.01090821292781239,16.832119021583622,True
7,-0.4941810387251948,0.20146509878025576,3.782137577573556,0.2858007164095194,0.012802734859491424,22.32341132938783,True
8,-1.6311353398829507,-3.0597319353925982,1.9306655799254595,0.05281074378004786,0.009857429166822012,,False
9,-5.761752150631489,-1.007714474603377,3.066339020935151,0.07179475286317243,0.009936875977875625,,False
10,0.810209513763688,0.4016245133782892,3.493483492837237,0.3006740929238074,0.01316062083613437,22.846497643808995,True
11,-0.3748183882413949,-6.47347779056379,1.9762105728183141,0.026832939413049792,0.010417691623363283,,False
12,-2.565196860213419,-2.8737852463112965,3.635461813018982,0.16497634877039816,0.010833450501871232,15.228421336480215,True
13,1.0132074402126996,-0.12185759594361656,1.9033464360788432,0.17253134642279422,0.01073117385335988,16.077583755553032,True
14,-3.7080106040800898,-7.915618332069102,1.263354803972096,-0.14116888570953534,0.011707383250797844,,False
15,-4.232190574299872,1.9806260810484915,3.394233437921395,0.19121199595877558,0.011146911962866919,17.153808749521783,True
16,-1.9872998201589986,-3.756987624180466,4.276001835950497,0.21378709895205159,0.011678847252058467,18.30549662462366,True
17,-5.40029449079004,-0.6393462188751071,2.9867029828681595,0.08163329316647149,0.009960709896037298,8.195529637796993,True
18,-0.7482066151450537,-1.6390364515510987,1.4108216844892332,0.06093564756251069,0.009742969346027246,,False
19,-3.582749647838116,-6.7569898499063825,3.5977093985292807,0.06512752140516294,0.010729969782209109,,False
20,-1.3467361184716191,-6.823554810307156,2.348695277870376,0.02437424629503318,0.010524892905542961,,False
21,-5.350599954296641,1.9182640839999703,3.72892841198684,0.18722496213333562,0.01113220044175619,16.818324742974124,True
22,-3.6223682864298166,-4.06519750490313,2.4793836433086414,0.025800142073552836,0.009984631868732805,,False
23,-2.457468695569294,-0.810729233640977,4.331829427125507,0.2594731223273791,0.012270119188167172,21.146748319902628,True
24,0.9658638770692729,-4.811696974293267,4.398833945166219,0.2805514318197223,0.013156944705542921,21.32344842199786,True
25,0.4687446443191199,-0.46467968788833325,1.086761669705462,0.08850556897543035,0.009853977936164134,8.981709675908101,True
26,-2.9022812860936513,-0.23919491045532126,1.3667137291934521,0.027177930812014955,0.009609508466715766,,False
27,-0.8162554744576029,-3.690701019233302,2.636660541601846,0.11750968620623407,0.01037200110773115,11.329509608193538,True
28,0.19909151707464545,-0.7045023930387826,2.885552812988071,0.2174561503308988,0.011435730677434164,19.015501192241217,True
29,-1.4984750892100553,-1.7580635889516802,3.369979104497933,0.19215722858033682,0.011088023988283069,17.330159889931075,True
30,-4.806092484108527,-4.234816018753886,4.971076874488519,0.18633444571039737,0.011430113288907832,16.302064642808276,True
31,-2.6152408490438592,-0.3150756044573937,4.227394348137622,0.2562581280753748,0.012193956181072788,21.015175409038577,True
32,-5.574472504422135,-0.254382495965805,3.33763988195759,0.11148772588840007,0.010189561958803606,10.94136591338714,True
33,1.4415240934180193,-7.645429034535381,2.026005857323785,0.05643386380665499,0.010843180766269176,,False
34,-5.250634798458381,-3.648458818867386,4.864424981920684,0.17718318246519243,0.011223830140068366,15.786338554132216,True
35,1.2913243924336406,1.57753192489281,4.294555168763097,0.39666904611776466,0.015927976093661998,24.90392023350699,True
36,-3.24385563848614,0.5048698801728086,2.6108844742033277,0.12892765511567542,0.0102528186965693,12.574849798018562,True
37,0.5519054654081916,-4.115297831207533,2.008415608621162,0.09619665243838976,0.010248582403349235,9.386337412572564,True
38,-5.16707091131757,1.0071692857953813,3.164829609403296,0.13147431317582223,0.01036971679282114,12.678679254465338,True
39,-3.0687785182380374,-5.571604651988755,3.0874538231859514,0.060179002147554506,0.010381674797955563,,False
40,0.3766360812434906,-7.032492330077741,3.758311113577202,0.1750792638668174,0.011764302084070002,14.882248229913408,True
41,-2.4166322960868247,-2.5020807086930947,1.7101201836151096,0.025405186432719204,0.009726391034981297,,False
42,1.266805551506689,-2.1072262094433025,2.757931940645549,0.2096481348138386,0.01138925468067872,18.40753769160117,True
43,0.6164942171128915,0.34147035157315564,1.8414975976324641,0.16586072173266944,0.010639440229636922,15.589233846218011,True
44,-4.103242445588016,-4.017343490226741,2.588181690170372,0.022711903275572577,0.009992170491134702,,False
45,-0.3209121548411886,-4.9979279606620715,4.2103539312611415,0.22922551170286837,0.01214793676448656,18.869501557909757,True
46,-1.8713094090900118,-6.954136499996122,2.730266833383237,0.03818762126407434,0.01061016127920002,,False
47,-2.819628279774181,-7.196891322748749,1.1285654389524784,-0.11567597920384176,0.011184768091868146,,False
48,1.381060423957722,-3.9133487831545946,1.113368620053149,0.05149519225166507,0.009954938802475619,,False
49,-4.780826896098861,-5.921945573015252,4.3195677584023935,0.10557508682162005,0.010847336208408928,9.732812258531963,True
50,0.686948323032226,-7.494808038591988,3.537195018220028,0.1574735977529545,0.01166457369808788,13.500158842390308,True
51,-0.022161445741561536,-4.455428787056771,4.906555198139204,0.30099100432902276,0.013567724771261653,22.18433889273491,True
52,-2.8512493513535606,-6.032971131734595,4.605460107714262,0.17574813665089636,0.011573835605767855,15.184951872248105,True
53,1.7692541003232938,-2.705387047297794,4.541679763097248,0.3506470527923476,0.014631335916098706,23.96548440983672,True
54,-5.649208559635795,-4.151870627808808,1.2089029506121702,-0.12733834016831921,0.01073049065823242,,False
55,-1.2148368913544978,-3.84148948715662,2.703834970558714,0.10969142152375201,0.010330262009688205,10.618454926010418,True
56,-1.092685555712908,-6.347644969753487,2.5741816432371976,0.057184312036596366,0.010499386226605746,,False
57,-3.9406022851692684,-4.36279825452838,1.6012791285990207,-0.056355367655108755,0.010151858145895608,,False
58,1.4334156872967192,-0.40224553096961646,1.4912980587999392,0.14617264351379802,0.010403479226884154,14.05036145370156,True
59,-4.719695022562234,-0.04458386331274511,2.785027839610861,0.09432786163924861,0.010001740400238207,9.43114476726491,True
60,0.08436830036485876,-7.794672331984893,1.7696228327922712,-0.0013954207434448997,0.010763846598589177,,False
61,-2.0926371620732316,-7.58860062160555,3.8667667747366448,0.10954493178516259,0.01122818283636092,9.75624759426044,True
62,1.905053690845051,-3.554723333403075,3.76506420777302,0.2783185709140303,0.01290482315436667,21.567019368247152,True
63,-3.9704984206369147,-3.3468406575266894,1.0351805884998864,-0.08283983835071373,0.010136653082602224,,False
64,-2.9649103172964595,0.9584443663937545,4.71693431366751,0.30839486020876977,0.0133927033566519,23.027080642056927,True
65,-3.32717073232631,1.070030860423957,3.4625087591832506,0.2034163454695232,0.011257265482299562,18.0697830915835,True
66,-0.6478573866285835,-2.165516183645005,2.9444519032351764,0.17359293161307,0.010839331668154048,16.015095480756063,True
67,0.48112694295756153,1.224962940689883,3.617122049948975,0.3167142532595444,0.013582467530860098,23.317873025645195,True
68,0.7594425484916725,-3.711482801499942,2.6973635556442694,0.16264442928664827,0.01087350648921551,14.957863817707857,True
69,-1.4671063469445143,1.5439083747685736,1.4298734013675873,0.10167527436103141,0.010002721716703352,10.164760876156919,True
70,-5.227770497425715,-5.129055830461045,3.276004486966799,0.02705843740075324,0.01027477252101594,,False
71,-1.3921649810472907,-4.635770356480791,2.1052203199216892,0.043963704150315704,0.010067687601052668,,False
72,-4.645242310062293,-2.9561876901825173,3.02144874897987,0.061771828082612903,0.00999342202955316,,False
73,-2.7359031277529975,1.4349525654109527,2.9102283190929694,0.18230092071642703,0.010932591558967185,16.674996018386807,True
74,1.5734854314894564,-2.097781162852349,1.1942710754623589,0.09580082110960958,0.010000898930050595,9.5792210059986,True
75,0.28300766282751866,-1.451242974569313,4.108896039153464,0.30133842574505604,0.013213557771552663,22.80524526057657,True
76,1.1346409955327568,-5.655294870187538,4.597193208058722,0.2850300984197643,0.013438036487162654,21.210695378901026,True
77,-0.8567645727726516,-3.298311595607159,1.2480791489353125,0.015254599007447436,0.009773123007818924,,False
78,-1.0773209288640082,-6.890218045780649,4.490652367968893,0.19711009499475252,0.012070014677822686,16.33055967669372,True
79,1.208609462029913,-2.6508918391988496,2.417817120064685,0.17174720945327668,0.010862249060550664,15.81138569884439,True
80,0.24682285540469007,-0.689840854416258,4.435347185160671,0.3396017934641234,0.014168760790773657,23.968348289517568,True
81,-2.301230783623962,-5.780300791035001,1.8226452209244797,-0.02241164176646765,0.010277867048796529,,False
82,-4.384124286293549,-6.270628578463684,3.3525163191318565,0.03411123170622139,0.010515447629381378,,False
83,-0.5770352834549408,-6.182596551278999,4.722650187364954,0.24096900716690978,0.012641945140239214,19.061070467700993,True
84,1.501844124716948,-1.5123919781475674,2.6752667527400487,0.22009078922260386,0.01152887759120674,19.090391712587063,True
