iter,wall_time_s,mass_kg,global_max_fi,global_mean_fi,n_mystran_fail,zone0_max_fi,zone1_max_fi,zone2_max_fi,zone3_max_fi,zone4_max_fi,zone5_max_fi,zone6_max_fi,zone7_max_fi,zone0_thickness_scale,zone1_thickness_scale,zone2_thickness_scale,zone3_thickness_scale,zone4_thickness_scale,zone5_thickness_scale,zone6_thickness_scale,zone7_thickness_scale,zone0_ply_0,zone0_ply_45,zone0_ply_-45,zone0_ply_90,zone1_ply_0,zone1_ply_45,zone1_ply_-45,zone1_ply_90,zone2_ply_0,zone2_ply_45,zone2_ply_-45,zone2_ply_90,zone3_ply_0,zone3_ply_45,zone3_ply_-45,zone3_ply_90,zone4_ply_0,zone4_ply_45,zone4_ply_-45,zone4_ply_90,zone5_ply_0,zone5_ply_45,zone5_ply_-45,zone5_ply_90,zone6_ply_0,zone6_ply_45,zone6_ply_-45,zone6_ply_90,zone7_ply_0,zone7_ply_45,zone7_ply_-45,zone7_ply_90,zone0_total_plies,zone1_total_plies,zone2_total_plies,zone3_total_plies,zone4_total_plies,zone5_total_plies,zone6_total_plies,zone7_total_plies
0,2.526545524597168,16.62688043531778,0.9694071872865376,0.17344469545051594,0,0.4788252801020303,0.3552228942043334,0.2689655953322233,0.19673344737387827,0.2787237851067545,0.3957962400718678,0.4257951085410834,0.9694071872865376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
1,2.4323341846466064,12.398368819902691,0.818951627203773,0.24990220659813053,0,0.728014361047992,0.5808289652639196,0.45048966656391304,0.3789926815046248,0.6305064171183992,0.8009784996053536,0.818951627203773,0.5323122558434425,0.7992658000637689,0.7220143088777083,0.6681034970826396,0.6229584046086739,0.6742023656917215,0.7473726500449174,0.7661219428381771,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,5
2,2.574064254760742,10.933489730059625,0.8446389447812086,0.29261619325662025,0,0.810042447833481,0.7461941109845619,0.6177090741618656,0.5393163967995656,0.6772305653173306,0.7855682803486093,0.8111062439143061,0.8446389447812086,0.7633060129949699,0.6231114193958438,0.5221603245606589,0.4590396249471396,0.6027817565990083,0.747829714946868,0.7751964787464892,0.8326951599021516,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,5
3,2.0381622314453125,10.503383865778844,0.7616234812254439,0.28585888719192554,0,0.7374881217918324,0.7225071127738836,0.6662936580239093,0.6160019111263092,0.7386118692975386,0.7543460664193983,0.7616234812254439,0.7457927808348654,0.7680969260052726,0.6021570044731782,0.46266964393559434,0.38424956029526686,0.5565297719148291,0.7410844219511852,0.7805774294805329,0.8559268056911841,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,5
4,2.0889980792999268,9.992092637354403,0.82905431723254,0.30338281686908564,0,0.7562070107848592,0.7555196156604785,0.783218549415245,0.7271753186229301,0.7814761665506875,0.7895449168133928,0.795593368328113,0.82905431723254,0.7380874375737041,0.5729927014481432,0.4240059779143389,0.34006131982971366,0.535177070428505,0.7199385350903239,0.7618550267446238,0.8269284232252992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,5
5,2.21722412109375,9.831051082312433,0.8172159419565814,0.3090214100962133,0,0.7733643132091552,0.7667253152487375,0.7952768906209949,0.7859078263246843,0.7896275739784906,0.8147744909074702,0.8172159419565814,0.790128113825322,0.717885528077769,0.5570633667080469,0.4195588308105826,0.32458328403892317,0.5289811136044371,0.7152341492943155,0.7597567676882243,0.8419445736859192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,5
6,2.1672420501708984,9.757925577184125,0.808140705027977,0.31169049091419876,0,0.7901199133690441,0.7850171309106001,0.7993390847620705,0.7962079714754094,0.7982379569505486,0.8063469721335831,0.808140705027977,0.8015459775058262,0.7059346692792942,0.5454782992619924,0.4183203169050539,0.32172448153218514,0.5255518526871635,0.7218386620664787,0.7679317229467496,0.8367498355629097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,5
7,2.658346176147461,9.736446543693548,0.8042177080833122,0.3123362224372157,0,0.7954880177888054,0.792530088024484,0.7998466873948782,0.7991635528527518,0.8018077274470318,0.803351213082256,0.8042177080833122,0.7979677590527964,0.7015754844741224,0.5403702805438981,0.41814752048519266,0.3209619887752919,0.5249730745689425,0.7247020932371528,0.7718389139705844,0.8375583333277746,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,5
8,2.1318438053131104,9.727230434632315,0.8017460693413092,0.3125672040585846,0,0.7966932945965929,0.7960269659556688,0.7999513705475573,0.7996433144368393,0.801094727574403,0.8012453827740388,0.8017460693413092,0.8001831016626837,0.699597049408024,0.5378474565252432,0.4181074534316359,0.32079419643786306,0.5255662047163492,0.7262199876968994,0.7738735334871272,0.8364945081148619,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,5
9,2.6443772315979004,9.721327342670302,0.8010731432985796,0.3127322087552836,0,0.7985061949370957,0.7978738262041766,0.799980441688417,0.7999125479296845,0.8010731432985796,0.800798775900787,0.8010288953070075,0.7997790912080895,0.6981511985683458,0.5365119026155983,0.4180947457213093,0.3207226822762286,0.5259257996016475,0.7267852513611747,0.7747180565189224,0.8365902353244005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,5
