iter,wall_time_s,mass_kg,global_max_fi,global_mean_fi,n_mystran_fail,zone0_max_fi,zone1_max_fi,zone2_max_fi,zone3_max_fi,zone4_max_fi,zone5_max_fi,zone6_max_fi,zone7_max_fi,zone0_thickness_scale,zone1_thickness_scale,zone2_thickness_scale,zone3_thickness_scale,zone4_thickness_scale,zone5_thickness_scale,zone6_thickness_scale,zone7_thickness_scale,zone0_ply_0,zone0_ply_45,zone0_ply_-45,zone0_ply_90,zone1_ply_0,zone1_ply_45,zone1_ply_-45,zone1_ply_90,zone2_ply_0,zone2_ply_45,zone2_ply_-45,zone2_ply_90,zone3_ply_0,zone3_ply_45,zone3_ply_-45,zone3_ply_90,zone4_ply_0,zone4_ply_45,zone4_ply_-45,zone4_ply_90,zone5_ply_0,zone5_ply_45,zone5_ply_-45,zone5_ply_90,zone6_ply_0,zone6_ply_45,zone6_ply_-45,zone6_ply_90,zone7_ply_0,zone7_ply_45,zone7_ply_-45,zone7_ply_90,zone0_total_plies,zone1_total_plies,zone2_total_plies,zone3_total_plies,zone4_total_plies,zone5_total_plies,zone6_total_plies,zone7_total_plies
33,1.6344714164733887,72.17017530455693,0.8023604369095525,0.3123736857606386,0,0.7999605416658209,0.8000073125383479,0.800617107005614,0.8023604369095525,0.7991000120043921,0.7999704335855139,0.7999747332742482,0.7999355546395867,1.2334293536583278,0.9711816537591087,0.8351372233151629,0.7055166231684181,0.7755918978118578,0.9469280652105154,1.0088340059683978,1.5577110809770125,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
34,1.6292660236358643,72.1803537923959,0.8000458249883662,0.3122275136455655,0,0.8000458249883662,0.800039133397213,0.7985770809582375,0.7979940806015831,0.7999191138326961,0.7997902724868089,0.7998123218034683,0.7999854637457309,1.2333989354910635,0.9711860923860375,0.8354593289596359,0.7065574528419365,0.7751556331884069,0.9469105669182251,1.008818074760799,1.5576483389444915,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
35,1.6742780208587646,72.16181559717981,0.8007459726977091,0.31242165943646794,0,0.8000390849100151,0.8000131020979436,0.8003913924931073,0.799952332416141,0.8007459726977091,0.800120999862494,0.800123032027209,0.8000513043790388,1.233434260798482,0.9712098460179881,0.8347163345922641,0.7056716420289666,0.7751164460832615,0.9467864461692163,1.0086997415377368,1.5576341874617934,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
36,1.6823561191558838,72.16824254056104,0.8002351783356304,0.3123620698713011,0,0.7999779805402021,0.7999414394588731,0.8002351783356304,0.7997906609724802,0.8001493861361376,0.8000626790895762,0.8000550344795108,0.7999522710249168,1.233464391215415,0.9712177990720672,0.834920523159285,0.7056506184901082,0.7754778308997136,0.9468580468128396,1.008777305521516,1.5576841333710167,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
37,1.635704755783081,72.16874599399269,0.8002129823220308,0.3123597615134452,0,0.799993638512951,0.80004987710858,0.8002129823220308,0.7998560052962284,0.8001103502348835,0.8000377779099612,0.8000404040753558,0.8000452985278039,1.233447416078181,0.971182252172151,0.8350432451711727,0.705558293356206,0.7755502344227251,0.9468951394380472,1.0088120039802357,1.5576376667040235,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
38,1.6438050270080566,72.17060072454959,0.8023615565778066,0.31236371678736913,0,0.7999771468641912,0.7999367947495759,0.8005670201694777,0.8023615565778066,0.7991223426190539,0.7999489576355845,0.7999557506215456,0.7999251021826053,1.233442511978329,0.9712125270238028,0.8351544010770181,0.7054947954453026,0.7756037232668078,0.9469174967626224,1.0088374790528787,1.5576817658872444,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
39,1.5897843837738037,72.17999191979457,0.800137570194606,0.31225227769397157,0,0.8000522496081434,0.800137570194606,0.7986857667204843,0.7980783379391553,0.7999725416524757,0.799895313015328,0.7999022797181895,0.8000183843826518,1.2334248944600548,0.9711741609419369,0.8354503694457923,0.7065360866170477,0.7751782768090488,0.9468872886951591,1.0088095787832476,1.5576088490344564,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
40,1.7137250900268555,72.16440839301899,0.8006148763061851,0.3124082925135252,0,0.800018449627915,0.7999894976456083,0.800366999565459,0.7999034177605869,0.8006148763061851,0.8001054971817734,0.8000531268579119,0.8000303994976612,1.233465173189686,0.9712576638283851,0.834764134021474,0.7056875093718792,0.7751649736124752,0.9468253344607355,1.0087479655605402,1.5576267463326456,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
41,1.6336019039154053,72.16916367642756,0.8001841034200879,0.3123553340973212,0,0.7999354856926338,0.7999800974826723,0.8001841034200879,0.7997780437484066,0.8001699001155443,0.8000181438200994,0.8000232369088912,0.8000348454981434,1.233479396298118,0.9712512885207656,0.8349556078180032,0.705644911321891,0.775462867722262,0.9468877640884963,1.0087814603166871,1.5576563407517907,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
42,1.658660888671875,72.16936063159791,0.8023589808718107,0.31238138171470997,0,0.7999843518837947,0.7999471699803772,0.800651261743285,0.8023589808718107,0.7991239358615904,0.8000483197343601,0.8000387940346734,0.7999588040385013,1.2334296606300539,0.971239207054766,0.8350516816823912,0.7055470223847203,0.7755452122415285,0.9468985016892749,1.00879611091849,1.5576902640712469,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
43,1.5897536277770996,72.18028548419468,0.8000461584641003,0.312238190372043,0,0.8000461584641003,0.8000402526080296,0.7986177378162926,0.7980017733144772,0.800007785828094,0.7997953864835715,0.7998197997626183,0.7999828502656422,1.233417597598391,0.9712071379382864,0.8353915799411071,0.7065872548409506,0.7751205701489284,0.9469270978668171,1.0088205704630557,1.5576501574786559,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
44,1.5973176956176758,72.1623786999016,0.8007229582249479,0.31242518930609875,0,0.8000310789224284,0.8000053684504478,0.8004270474388916,0.799939768366965,0.8007229582249479,0.8001296734360788,0.8001299653775761,0.8000552241413494,1.233453180512078,0.9712315714509356,0.8346698735726445,0.7057048038982797,0.7751243419961229,0.946806001564757,1.008706951896635,1.5576334616746412,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
45,1.673743724822998,72.16881789052253,0.8001980185526472,0.3123550555360891,0,0.7999118228142126,0.7999499800010184,0.8001980185526472,0.7997412912647732,0.8001317003694824,0.8000507336925716,0.8000438985781887,0.7999483514586861,1.2334771395094006,0.9712348302062886,0.8348926508425378,0.7056782378027925,0.775474581070125,0.9468827363069587,1.0087888875090516,1.5576872235311776,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
46,1.620436668395996,72.1680731831083,0.8002678259168634,0.31235511705567676,0,0.7999854660150658,0.7999523288164605,0.8002678259168634,0.7998817457586206,0.8000742429465783,0.7999721218844289,0.8000420431598365,0.8000445174378121,1.2334091616700913,0.9712044669780275,0.8349959784889975,0.7055641346000556,0.7755384125006569,0.9469127605929869,1.0088165652577106,1.5576369408606032,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
