iter,wall_time_s,mass_kg,global_max_fi,global_mean_fi,n_mystran_fail,zone0_max_fi,zone1_max_fi,zone2_max_fi,zone3_max_fi,zone4_max_fi,zone5_max_fi,zone6_max_fi,zone7_max_fi,zone0_thickness_scale,zone1_thickness_scale,zone2_thickness_scale,zone3_thickness_scale,zone4_thickness_scale,zone5_thickness_scale,zone6_thickness_scale,zone7_thickness_scale,zone0_ply_0,zone0_ply_45,zone0_ply_-45,zone0_ply_90,zone1_ply_0,zone1_ply_45,zone1_ply_-45,zone1_ply_90,zone2_ply_0,zone2_ply_45,zone2_ply_-45,zone2_ply_90,zone3_ply_0,zone3_ply_45,zone3_ply_-45,zone3_ply_90,zone4_ply_0,zone4_ply_45,zone4_ply_-45,zone4_ply_90,zone5_ply_0,zone5_ply_45,zone5_ply_-45,zone5_ply_90,zone6_ply_0,zone6_ply_45,zone6_ply_-45,zone6_ply_90,zone7_ply_0,zone7_ply_45,zone7_ply_-45,zone7_ply_90,zone0_total_plies,zone1_total_plies,zone2_total_plies,zone3_total_plies,zone4_total_plies,zone5_total_plies,zone6_total_plies,zone7_total_plies
10,1.4664082527160645,9.596170667209213,0.8016015572466896,0.28058863687376323,0,0.8009368820560456,0.8016015572466896,0.8002334888302118,0.7988942197983218,0.7996104571975777,0.7996602874159967,0.7997691620645905,0.8000941908716712,0.7418813177540461,0.5297224467097763,0.31369644279976794,0.32495275114386657,0.5312727721476863,0.7144304704911916,0.7302745669906191,1.1278121174941742,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
11,1.4469935894012451,9.598146663685899,0.8009584228321738,0.2805706281817487,0,0.8005528800917965,0.8009584228321738,0.8002474466429925,0.7993188266132369,0.7997702498417807,0.7997915768639874,0.799872295535956,0.7999250139666573,0.7423157273129954,0.5302526847243151,0.31374222068443725,0.3247281721946817,0.5311434262198657,0.7142787823529283,0.7301692075697902,1.1278785109981917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
12,1.5235133171081543,9.599281268468957,0.8005666602817502,0.2805557744239683,0,0.8003179698989163,0.8005666602817502,0.8001577551378954,0.7995382935853936,0.799845497758103,0.7998646487485547,0.7999099563658932,0.7999083614674583,0.7425722345551572,0.5305703136492282,0.31379074222148307,0.3245899245766622,0.5310671572909836,0.71418573721305,0.7301109289027189,1.1278256515384215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
13,1.4106709957122803,9.599857807131759,0.8003705065158238,0.2805568358234756,0,0.8002054049074008,0.8003705065158238,0.8001142626808564,0.7996743555113852,0.7998855306740776,0.7999132153924722,0.7999522723425304,0.8000560723425819,0.742719806816632,0.5307582218513661,0.313821681035114,0.32449625879522864,0.531015875374484,0.7141253210047399,0.7300698402518817,1.1277610563586278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
14,1.4859988689422607,9.600302799627412,0.8002369116608062,0.28055524594674636,0,0.8001299152145213,0.8002369116608062,0.8000786120900489,0.7998133438945272,0.799931701444827,0.7999436470020236,0.7999729181420253,0.8000487484714034,0.7428151557498468,0.5308811277135679,0.3138440923517302,0.32443021478382067,0.5309778847311664,0.7140865865761717,0.7300480624248414,1.127800578986317,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
15,1.4777655601501465,9.600611031172159,0.8001201483054272,0.28054759665832585,0,0.8000687473817952,0.8001201483054272,0.8000490107189423,0.7999148305272566,0.7999815688648159,0.7999672151374084,0.7999778663197288,0.7998892577999253,0.7428754701187898,0.5309597351696037,0.313859512314261,0.32439236673357735,0.5309552190921939,0.7140614360011915,0.7300357055136282,1.1278349405827381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
16,1.494093656539917,9.60069238781514,0.8000863818845123,0.2805501620836735,0,0.8000443464558241,0.8000863818845123,0.8000357116751042,0.7999014585166747,0.7999633812314415,0.7999758124488457,0.7999900760436435,0.8000431382544096,0.7429073893335214,0.530999606364873,0.31386912636447684,0.32437509902930445,0.5309491027750565,0.7140468044974033,0.7300256065280704,1.1277568787560874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
17,1.5035641193389893,9.60079689608575,0.8000487553806632,0.2805482023438054,0,0.8000311035386686,0.8000487553806632,0.8000166637263829,0.7999302673746445,0.7999705485412864,0.7999767069983074,0.7999865683631466,0.8000393878040566,0.7429279801520979,0.5310282743315436,0.313876131859643,0.32435512127717187,0.5309369510861122,0.7140360100951468,0.7300210785641589,1.127787284670555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
18,1.4363582134246826,9.600849831615706,0.8000423144564364,0.28055265120549994,0,0.8000310813535313,0.8000423144564364,0.8000281617432333,0.7999720850686441,0.8000021800952843,0.7999984134503771,0.8000021436749118,0.8000407176197858,0.7429424224578222,0.5310444558850799,0.31387940082588023,0.3243409849433255,0.5309271780438032,0.7140256150689019,0.7300149502028948,1.1278150478359212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
19,1.4043428897857666,9.600966845628252,0.8000147184508903,0.28054552480595296,0,0.800006823983846,0.8000074234662159,0.800003107992503,0.8000147184508903,0.8000062878944982,0.8000037208402174,0.8000028421313758,0.7998868374089788,0.7429568547428759,0.5310585001710139,0.3138849254453129,0.3243353262206189,0.5309279014637014,0.714024907045733,0.7300159282746034,1.1278437490511128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
20,1.4631009101867676,9.600924969355598,0.8000388269204618,0.2805488086052922,0,0.8000061873522688,0.8000224699665175,0.8000051568859672,0.7999801361111514,0.7999803634327369,0.7999914804134074,0.7999960696195628,0.8000388269204618,0.7429600234463603,0.5310609641052855,0.3138855351653098,0.3243383097916008,0.5309299879753454,0.714026567528602,0.7300172250253375,1.1277639804755444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
21,1.4632031917572021,9.600954399143113,0.8000369671764482,0.2805485073836017,0,0.8000066043727112,0.8000093182770746,0.8000061109236516,0.7999786709744832,0.7999922078561643,0.7999914804134074,0.7999943259340296,0.8000369671764482,0.742962896543477,0.5310684221815869,0.3138865468352546,0.32433428315401636,0.5309234719488324,0.7140227655216198,0.73001543174695,1.1277913477270254,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
22,1.4326145648956299,9.60097695342173,0.8000369671764482,0.28055040598033926,0,0.8000055507209487,0.8000196594206512,0.8000091138670565,0.8000019969385685,0.7999954247338552,0.8000019100706599,0.7999977938000424,0.8000369671764482,0.7429659632959015,0.5310715150832767,0.31388774567070643,0.3243299595701405,0.5309208863037954,0.7140189635348824,0.7300128428996255,1.127817404765618,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
23,1.4629490375518799,9.60103142502082,0.8000282404211788,0.2805438598219227,0,0.7999938996435815,0.799990119601351,0.7999813479718649,0.8000282404211788,0.8000269661932897,0.7999985038325189,0.7999967883916593,0.799883087243565,0.742968540793862,0.5310780404322211,0.31388953362769684,0.3243303643620187,0.5309193681135725,0.7140198159265528,0.7300118363031861,1.127843462406245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
24,1.4048056602478027,9.60095235783873,0.8000407176197858,0.28054732826852313,0,0.799994574516339,0.7999960035449084,0.8000061109236516,0.7999706330415386,0.7999752743473996,0.7999932050513899,0.8000047084268487,0.8000407176197858,0.7429657080607953,0.5310747608930003,0.31388587445493904,0.3243360888783253,0.5309283161600111,0.7140191482432844,0.7300103709831222,1.1277610503512343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
25,1.416412353515625,9.600939584749014,0.8000369671764482,0.28055013438293064,0,0.8000174214917809,0.8000021648491825,0.8000091138670565,0.8000000936827276,0.799994855429371,0.8000019100706599,0.7999977938000424,0.8000369671764482,0.7429631887181017,0.5310734343827301,0.31388707328782284,0.3243301359005443,0.5309201114418229,0.7140161159161476,0.7300125192333913,1.1277897501922702,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
26,1.472883701324463,9.600993755108846,0.8000350764798012,0.28055009976013934,0,0.8000059677414554,0.8000065077460651,0.8000106153433553,0.7999978274158479,0.8000085721875821,0.7999993080353581,0.7999960501139729,0.8000350764798012,0.7429712784225303,0.5310741529414115,0.3138888612409832,0.3243301548906267,0.5309184043443156,0.7140169683044186,0.7300115126373982,1.1278158071939526,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
27,1.4291656017303467,9.60103935357673,0.8000202022915313,0.28054416314128194,0,0.7999826051975013,0.7999934143375169,0.7999828494150556,0.8000202022915313,0.8000140246448986,0.8000115355969265,0.800009737302992,0.7998874292149776,0.7429740495853419,0.5310763130012421,0.3138909437647566,0.32432971449403014,0.530921248801911,0.7140166595078588,0.7300097104734773,1.1278405320741902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
