twist_deg,exit_ok,cl,cd,ld,t_mesh_s,t_su2_s
0.0,True,0.297584,0.018413,16.161624938901866,18.0,61.8
-2.0,True,0.261212,0.00652,40.063190184049084,17.9,61.6
-4.0,True,0.205504,0.005275,38.95810426540284,15.6,56.5
-6.0,True,0.150134,0.000805,186.50186335403725,15.1,56.6
